批號,日期,機台,班別,排程時間_分,停機_分,主要停機原因,理想週期_秒,產出數,良品數
P-2401,2026-08-03,M1,日班,457,41,等料,78,305,301
P-2402,2026-08-03,M2,日班,410,36,換模,82,248,242
P-2403,2026-08-04,M2,日班,366,37,換模,82,224,221
P-2404,2026-08-05,M3,日班,440,43,首件確認,75,287,284
P-2405,2026-08-05,M2,夜班,542,42,換模,82,344,340
P-2406,2026-08-06,M2,日班,519,26,例行調機,82,336,331
P-2407,2026-08-07,M3,夜班,498,36,換模,75,352,322
P-2408,2026-08-07,M1,夜班,542,26,首件確認,78,370,362
P-2409,2026-08-08,M2,夜班,558,28,等料,82,353,345
P-2410,2026-08-09,M2,夜班,461,40,等料,82,279,275
P-2411,2026-08-09,M1,夜班,404,22,換模,78,281,274
P-2412,2026-08-10,M3,夜班,452,29,首件確認,75,307,291
P-2413,2026-08-11,M1,日班,338,22,等料,78,222,218
P-2414,2026-08-11,M2,夜班,509,44,換模,82,312,309
P-2415,2026-08-12,M2,日班,435,42,換模,82,262,259
P-2416,2026-08-13,M1,夜班,409,24,換模,78,270,268
P-2417,2026-08-13,M2,日班,600,24,例行調機,82,395,388
P-2418,2026-08-14,M2,夜班,458,38,例行調機,82,294,290
P-2419,2026-08-15,M1,日班,438,42,等料,78,291,284
P-2420,2026-08-15,M2,夜班,557,37,首件確認,82,345,329
P-2421,2026-08-16,M2,夜班,432,22,換模,82,276,263
P-2422,2026-08-17,M1,日班,602,40,等料,78,398,388
P-2423,2026-08-17,M2,夜班,341,23,例行調機,82,223,217
P-2424,2026-08-18,M1,夜班,485,38,等料,78,326,310
P-2425,2026-08-19,M1,日班,577,43,例行調機,78,370,363
P-2426,2026-08-19,M1,夜班,433,36,例行調機,78,286,283
P-2427,2026-08-20,M1,夜班,417,25,等料,78,273,268
P-2428,2026-08-21,M2,日班,604,21,換模,82,389,383
P-2429,2026-08-21,M3,夜班,593,35,換模,75,403,393
