客訴編號,收件日,產品線,客戶,類別,嚴重度,狀態,負責單位,結案日,處理天數,期限天數,逾期,描述
CC-26001,2026-06-02,產品線B,客戶戊,標示,中,已結案,品保課,2026-06-23,21,30,否,標籤批號模糊
CC-26002,2026-06-03,產品線B,客戶丁,功能,中,已結案,研發課,2026-06-24,21,30,否,組裝後活動卡頓
CC-26003,2026-06-04,產品線C,客戶乙,功能,低,已結案,研發課,2026-06-30,26,45,否,組裝後活動卡頓
CC-26004,2026-06-06,產品線A,客戶己,包裝,低,已結案,包裝課,2026-06-27,21,45,否,外箱破損、封口不完整
CC-26005,2026-06-06,產品線C,客戶乙,標示,低,已結案,品保課,2026-07-22,46,45,是,標籤批號模糊
CC-26006,2026-06-07,產品線B,客戶乙,標示,低,調查中,品保課,,,45,是,標籤批號模糊
CC-26007,2026-06-07,產品線C,客戶乙,外觀,中,已結案,製造課,2026-06-23,16,30,否,表面刮傷、異色
CC-26008,2026-06-09,產品線A,客戶戊,外觀,中,已結案,製造課,2026-07-03,24,30,否,表面刮傷、異色
CC-26009,2026-06-10,產品線C,客戶戊,功能,低,已結案,研發課,2026-07-26,46,45,是,組裝後活動卡頓
CC-26010,2026-06-10,產品線C,客戶甲,外觀,中,已結案,製造課,2026-06-26,16,30,否,表面刮傷、異色
CC-26011,2026-06-12,產品線B,客戶戊,功能,中,已結案,研發課,2026-07-04,22,30,否,組裝後活動卡頓
CC-26012,2026-06-14,產品線C,客戶丁,外觀,中,已結案,製造課,2026-07-10,26,30,否,表面刮傷、異色
CC-26013,2026-06-17,產品線B,客戶己,功能,中,已結案,研發課,2026-07-03,16,30,否,組裝後活動卡頓
CC-26014,2026-06-18,產品線B,客戶己,標示,中,已結案,品保課,2026-06-27,9,30,否,標籤批號模糊
CC-26015,2026-06-20,產品線C,客戶丁,功能,高,已結案,研發課,2026-06-29,9,15,否,組裝後活動卡頓
CC-26016,2026-06-21,產品線A,客戶己,標示,高,CAPA 進行中,品保課,,,15,是,標籤批號模糊
CC-26017,2026-06-22,產品線B,客戶丙,標示,低,已結案,品保課,2026-08-04,43,45,否,標籤批號模糊
CC-26018,2026-06-24,產品線C,客戶甲,標示,高,CAPA 進行中,品保課,,,15,是,標籤批號模糊
CC-26019,2026-06-24,產品線C,客戶戊,標示,高,CAPA 進行中,品保課,,,15,是,標籤批號模糊
