保養單號,設備,類型,計畫日,實際日,延誤天數,停機時數,更換零件,執行人,備註
PM-26001,成型機M2,預防保養,2026-06-01,2026-06-01,0,2.8,濾網,技術員甲,
PM-26002,成型機M4,預防保養,2026-06-01,2026-06-02,1,2.9,濾網,技術員丁,
PM-26003,封口機P1,預防保養,2026-06-04,2026-06-04,0,2.8,—,技術員丙,
PM-26004,空壓機C1,預防保養,2026-06-04,2026-06-04,0,3.0,—,技術員丁,
PM-26005,成型機M3,預防保養,2026-06-05,2026-06-05,0,1.4,O 型環,技術員甲,
PM-26006,成型機M1,預防保養,2026-06-03,2026-06-06,3,3.0,O 型環,技術員甲,
PM-26007,滅菌鍋S1,預防保養,2026-06-04,2026-06-08,4,2.5,O 型環,技術員乙,
PM-26008,成型機M1,預防保養,2026-06-10,2026-06-10,0,1.2,—,技術員乙,
PM-26009,滅菌鍋S1,預防保養,2026-06-11,2026-06-11,0,3.0,濾網,技術員丁,
PM-26010,封口機P1,預防保養,2026-06-11,2026-06-11,0,2.7,O 型環,技術員丁,
PM-26011,空壓機C1,預防保養,2026-06-11,2026-06-11,0,2.8,—,技術員丁,
PM-26012,成型機M2,預防保養,2026-06-08,2026-06-12,4,2.4,O 型環,技術員乙,
PM-26013,成型機M3,預防保養,2026-06-12,2026-06-12,0,2.1,濾網,技術員乙,
PM-26014,成型機M4,預防保養,2026-06-08,2026-06-12,4,1.6,濾網,技術員甲,
PM-26015,封口機P1,故障維修,,2026-06-14,,8.3,皮帶,技術員乙,異音
PM-26016,成型機M2,預防保養,2026-06-15,2026-06-15,0,2.9,O 型環,技術員甲,
PM-26017,成型機M4,預防保養,2026-06-15,2026-06-15,0,1.9,O 型環,技術員丙,
PM-26018,成型機M1,預防保養,2026-06-17,2026-06-17,0,1.7,—,技術員丙,
PM-26019,成型機M1,故障維修,,2026-06-17,,6.7,閥件,技術員丙,跳機
PM-26020,成型機M2,故障維修,,2026-06-17,,7.3,閥件,技術員丁,溫度異常
PM-26021,滅菌鍋S1,預防保養,2026-06-18,2026-06-18,0,1.2,潤滑油,技術員丁,
PM-26022,成型機M3,預防保養,2026-06-19,2026-06-19,0,2.6,—,技術員甲,
PM-26023,封口機P1,預防保養,2026-06-18,2026-06-19,1,2.7,—,技術員甲,
PM-26024,空壓機C1,預防保養,2026-06-18,2026-06-21,3,2.8,潤滑油,技術員乙,
PM-26025,成型機M2,預防保養,2026-06-22,2026-06-22,0,2.6,濾網,技術員甲,
PM-26026,成型機M4,預防保養,2026-06-22,2026-06-22,0,2.1,O 型環,技術員丙,
PM-26027,成型機M1,預防保養,2026-06-24,2026-06-24,0,1.9,潤滑油,技術員丙,
PM-26028,滅菌鍋S1,預防保養,2026-06-25,2026-06-25,0,2.5,潤滑油,技術員甲,
PM-26029,封口機P1,預防保養,2026-06-25,2026-06-25,0,2.1,—,技術員乙,
PM-26030,空壓機C1,預防保養,2026-06-25,2026-06-25,0,2.5,—,技術員丁,
PM-26031,成型機M3,預防保養,2026-06-26,2026-06-26,0,2.9,濾網,技術員乙,
PM-26032,成型機M2,預防保養,2026-06-29,2026-06-29,0,2.9,濾網,技術員乙,
PM-26033,成型機M4,預防保養,2026-06-29,2026-06-29,0,2.4,—,技術員乙,
PM-26034,成型機M1,預防保養,2026-07-01,2026-07-01,0,2.6,潤滑油,技術員丙,
PM-26035,滅菌鍋S1,預防保養,2026-07-02,2026-07-02,0,2.5,—,技術員乙,
PM-26036,封口機P1,預防保養,2026-07-02,2026-07-02,0,2.8,—,技術員丁,
PM-26037,成型機M3,預防保養,2026-07-03,2026-07-03,0,2.2,O 型環,技術員乙,
PM-26038,成型機M2,故障維修,,2026-07-05,,4.0,感測器,技術員丁,異音
PM-26039,成型機M2,預防保養,2026-07-06,2026-07-06,0,1.5,—,技術員丁,
PM-26040,成型機M4,預防保養,2026-07-06,2026-07-06,0,3.0,潤滑油,技術員丁,
PM-26041,成型機M1,預防保養,2026-07-08,2026-07-08,0,2.7,—,技術員甲,
PM-26042,滅菌鍋S1,預防保養,2026-07-09,2026-07-09,0,1.7,—,技術員丙,
PM-26043,封口機P1,預防保養,2026-07-09,2026-07-09,0,1.3,O 型環,技術員丙,
PM-26044,成型機M3,預防保養,2026-07-10,2026-07-10,0,2.9,—,技術員甲,
PM-26045,成型機M2,預防保養,2026-07-13,2026-07-13,0,2.2,—,技術員甲,
PM-26046,成型機M4,預防保養,2026-07-13,2026-07-15,2,2.9,O 型環,技術員乙,
PM-26047,成型機M1,預防保養,2026-07-15,2026-07-16,1,2.4,—,技術員乙,
PM-26048,滅菌鍋S1,預防保養,2026-07-16,2026-07-16,0,1.3,O 型環,技術員丁,
PM-26049,封口機P1,預防保養,2026-07-16,2026-07-16,0,2.3,O 型環,技術員甲,
PM-26050,成型機M3,預防保養,2026-07-17,2026-07-17,0,2.4,濾網,技術員乙,
PM-26051,成型機M2,預防保養,2026-07-20,2026-07-20,0,2.4,—,技術員甲,
PM-26052,成型機M1,故障維修,,2026-07-22,,7.1,馬達軸承,技術員甲,異音
PM-26053,成型機M4,預防保養,2026-07-20,2026-07-22,2,1.1,潤滑油,技術員甲,
PM-26054,空壓機C1,預防保養,2026-07-02,2026-07-22,20,1.4,濾網,技術員丙,延後：產線趕單
PM-26055,成型機M3,預防保養,2026-07-24,2026-07-24,0,1.2,—,技術員丁,
PM-26056,成型機M1,預防保養,2026-07-22,2026-07-25,3,2.5,—,技術員丙,
PM-26057,滅菌鍋S1,預防保養,2026-07-23,2026-07-25,2,1.1,O 型環,技術員丙,
PM-26058,封口機P1,預防保養,2026-07-23,2026-07-25,2,1.6,潤滑油,技術員丙,
PM-26059,成型機M2,預防保養,2026-07-27,2026-07-27,0,1.9,—,技術員乙,
PM-26060,成型機M4,預防保養,2026-07-27,2026-07-27,0,1.9,O 型環,技術員丙,
PM-26061,空壓機C1,故障維修,,2026-07-29,,2.9,閥件,技術員乙,跳機
PM-26062,滅菌鍋S1,預防保養,2026-07-30,2026-07-30,0,1.5,濾網,技術員乙,
PM-26063,成型機M1,預防保養,2026-07-29,2026-07-31,2,1.4,潤滑油,技術員丁,
PM-26064,成型機M3,預防保養,2026-07-31,2026-07-31,0,1.4,—,技術員甲,
PM-26065,成型機M3,故障維修,,2026-07-31,,7.0,感測器,技術員丙,跳機
PM-26066,滅菌鍋S1,故障維修,,2026-07-31,,6.1,感測器,技術員乙,溫度異常
PM-26067,封口機P1,預防保養,2026-07-30,2026-08-02,3,1.1,潤滑油,技術員丙,
PM-26068,成型機M2,預防保養,2026-08-03,2026-08-03,0,1.7,O 型環,技術員乙,
PM-26069,成型機M4,預防保養,2026-08-03,2026-08-03,0,1.3,O 型環,技術員丙,
PM-26070,空壓機C1,預防保養,2026-07-09,2026-08-03,25,2.5,濾網,技術員乙,延後：產線趕單
PM-26071,成型機M1,預防保養,2026-08-05,2026-08-05,0,1.5,濾網,技術員乙,
PM-26072,空壓機C1,預防保養,2026-07-16,2026-08-05,20,2.9,—,技術員甲,延後：產線趕單
PM-26073,滅菌鍋S1,預防保養,2026-08-06,2026-08-06,0,1.7,O 型環,技術員甲,
PM-26074,封口機P1,預防保養,2026-08-06,2026-08-06,0,1.8,濾網,技術員丙,
PM-26075,封口機P1,故障維修,,2026-08-06,,7.4,感測器,技術員丙,跳機
PM-26076,成型機M3,預防保養,2026-08-07,2026-08-07,0,2.4,O 型環,技術員甲,
PM-26077,成型機M2,預防保養,2026-08-10,2026-08-10,0,2.9,濾網,技術員乙,
PM-26078,成型機M2,故障維修,,2026-08-10,,6.4,閥件,技術員甲,跳機
PM-26079,成型機M4,預防保養,2026-08-10,2026-08-10,0,2.3,濾網,技術員乙,
PM-26080,成型機M1,預防保養,2026-08-12,2026-08-12,0,1.4,濾網,技術員乙,
PM-26081,成型機M4,故障維修,,2026-08-12,,8.1,感測器,技術員乙,異音
PM-26082,成型機M4,故障維修,,2026-08-12,,7.0,閥件,技術員甲,異音
PM-26083,滅菌鍋S1,預防保養,2026-08-13,2026-08-13,0,2.4,—,技術員丁,
PM-26084,封口機P1,預防保養,2026-08-13,2026-08-13,0,2.7,濾網,技術員甲,
PM-26085,空壓機C1,預防保養,2026-07-23,2026-08-14,22,1.7,—,技術員乙,延後：產線趕單
PM-26086,空壓機C1,預防保養,2026-07-30,2026-08-16,17,1.5,O 型環,技術員丙,延後：產線趕單
PM-26087,成型機M3,預防保養,2026-08-14,2026-08-17,3,2.4,濾網,技術員丁,
PM-26088,成型機M4,預防保養,2026-08-17,2026-08-17,0,2.7,濾網,技術員甲,
PM-26089,空壓機C1,故障維修,,2026-08-18,,2.1,閥件,技術員甲,壓力不足、排水閥卡住
PM-26090,成型機M1,預防保養,2026-08-19,2026-08-19,0,2.2,潤滑油,技術員甲,
PM-26091,成型機M2,預防保養,2026-08-17,2026-08-20,3,2.6,—,技術員丙,
PM-26092,滅菌鍋S1,預防保養,2026-08-20,2026-08-20,0,1.3,潤滑油,技術員丁,
PM-26093,封口機P1,預防保養,2026-08-20,2026-08-20,0,1.4,—,技術員甲,
PM-26094,滅菌鍋S1,故障維修,,2026-08-22,,8.0,感測器,技術員丁,溫度異常
PM-26095,空壓機C1,故障維修,,2026-08-22,,4.4,皮帶,技術員丙,壓力不足、排水閥卡住
PM-26096,成型機M2,預防保養,2026-08-24,2026-08-24,0,1.2,O 型環,技術員丙,
PM-26097,成型機M4,預防保養,2026-08-24,2026-08-24,0,1.2,O 型環,技術員乙,
PM-26098,成型機M3,預防保養,2026-08-21,2026-08-25,4,1.9,—,技術員丁,
PM-26099,空壓機C1,預防保養,2026-08-06,2026-08-25,19,1.9,—,技術員丙,延後：產線趕單
PM-26100,空壓機C1,故障維修,,2026-08-25,,2.5,閥件,技術員乙,壓力不足、排水閥卡住
PM-26101,成型機M1,預防保養,2026-08-26,2026-08-26,0,1.8,—,技術員丁,
PM-26102,滅菌鍋S1,預防保養,2026-08-27,2026-08-27,0,2.1,—,技術員乙,
PM-26103,封口機P1,預防保養,2026-08-27,2026-08-27,0,1.7,濾網,技術員乙,
PM-26104,空壓機C1,預防保養,2026-08-27,2026-08-27,0,2.8,濾網,技術員丁,
PM-26105,成型機M3,預防保養,2026-08-28,2026-08-28,0,1.3,濾網,技術員丙,
PM-26106,空壓機C1,預防保養,2026-08-13,2026-08-30,17,2.9,濾網,技術員丁,延後：產線趕單
PM-26107,成型機M2,預防保養,2026-08-31,2026-08-31,0,2.3,—,技術員甲,
PM-26108,空壓機C1,故障維修,,2026-08-31,,7.3,感測器,技術員丙,壓力不足、排水閥卡住
PM-26109,空壓機C1,故障維修,,2026-08-31,,4.3,閥件,技術員甲,壓力不足、排水閥卡住
PM-26110,成型機M1,預防保養,2026-09-02,2026-09-02,0,2.1,O 型環,技術員丙,
PM-26111,成型機M4,預防保養,2026-08-31,2026-09-03,3,2.6,潤滑油,技術員甲,
PM-26112,滅菌鍋S1,預防保養,2026-09-03,2026-09-03,0,2.3,濾網,技術員甲,
PM-26113,封口機P1,預防保養,2026-09-03,2026-09-03,0,2.5,濾網,技術員乙,
PM-26114,空壓機C1,預防保養,2026-09-03,2026-09-03,0,2.8,—,技術員丁,
PM-26115,成型機M3,預防保養,2026-09-04,2026-09-04,0,2.9,—,技術員甲,
PM-26116,空壓機C1,預防保養,2026-08-20,2026-09-06,17,1.5,潤滑油,技術員丙,延後：產線趕單
PM-26117,成型機M4,預防保養,2026-09-07,2026-09-07,0,2.1,濾網,技術員丁,
PM-26118,成型機M2,預防保養,2026-09-07,2026-09-08,1,1.5,—,技術員甲,
PM-26119,成型機M3,故障維修,,2026-09-08,,2.2,閥件,技術員乙,跳機
PM-26120,成型機M1,預防保養,2026-09-09,2026-09-09,0,1.9,O 型環,技術員甲,
PM-26121,封口機P1,故障維修,,2026-09-09,,5.0,皮帶,技術員丙,異音
PM-26122,空壓機C1,故障維修,,2026-09-09,,6.4,感測器,技術員丙,壓力不足、排水閥卡住
PM-26123,封口機P1,預防保養,2026-09-10,2026-09-10,0,2.7,O 型環,技術員乙,
PM-26124,成型機M3,預防保養,2026-09-11,2026-09-11,0,1.7,濾網,技術員丁,
PM-26125,空壓機C1,預防保養,2026-09-10,2026-09-11,1,2.8,濾網,技術員丙,
PM-26126,成型機M4,故障維修,,2026-09-13,,5.8,皮帶,技術員甲,溫度異常
PM-26127,成型機M2,預防保養,2026-09-14,2026-09-14,0,1.7,濾網,技術員甲,
PM-26128,成型機M4,預防保養,2026-09-14,2026-09-14,0,2.3,濾網,技術員乙,
PM-26129,滅菌鍋S1,預防保養,2026-09-10,2026-09-14,4,2.2,—,技術員丁,
PM-26130,成型機M1,預防保養,2026-09-16,2026-09-16,0,1.1,潤滑油,技術員甲,
PM-26131,滅菌鍋S1,預防保養,2026-09-17,2026-09-17,0,2.2,潤滑油,技術員乙,
PM-26132,封口機P1,預防保養,2026-09-17,2026-09-17,0,2.5,潤滑油,技術員甲,
PM-26133,空壓機C1,預防保養,2026-09-17,2026-09-17,0,1.2,潤滑油,技術員丁,
PM-26134,成型機M3,預防保養,2026-09-18,2026-09-18,0,2.8,O 型環,技術員丙,
PM-26135,成型機M1,故障維修,,2026-09-21,,8.5,皮帶,技術員丁,異音
PM-26136,成型機M4,預防保養,2026-09-21,2026-09-21,0,1.1,—,技術員甲,
PM-26137,滅菌鍋S1,故障維修,,2026-09-22,,2.0,皮帶,技術員乙,異音
PM-26138,空壓機C1,故障維修,,2026-09-22,,8.7,感測器,技術員甲,壓力不足、排水閥卡住
PM-26139,成型機M1,預防保養,2026-09-23,2026-09-23,0,2.8,潤滑油,技術員甲,
PM-26140,滅菌鍋S1,預防保養,2026-09-24,2026-09-24,0,1.3,潤滑油,技術員甲,
PM-26141,封口機P1,預防保養,2026-09-24,2026-09-24,0,2.2,潤滑油,技術員丁,
PM-26142,空壓機C1,預防保養,2026-09-24,2026-09-24,0,2.1,濾網,技術員丁,
PM-26143,成型機M2,預防保養,2026-09-21,2026-09-25,4,2.8,潤滑油,技術員甲,
PM-26144,成型機M3,預防保養,2026-09-25,2026-09-25,0,2.8,濾網,技術員甲,
PM-26145,成型機M3,故障維修,,2026-09-26,,6.4,感測器,技術員乙,異音
PM-26146,空壓機C1,故障維修,,2026-09-26,,4.0,皮帶,技術員丁,壓力不足、排水閥卡住
PM-26147,空壓機C1,故障維修,,2026-09-26,,5.5,馬達軸承,技術員丁,壓力不足、排水閥卡住
PM-26148,成型機M4,預防保養,2026-09-28,2026-09-28,0,1.3,潤滑油,技術員丁,
PM-26149,成型機M2,預防保養,2026-09-28,2026-09-29,1,1.5,—,技術員甲,
PM-26150,成型機M1,預防保養,2026-09-30,2026-09-30,0,1.1,濾網,技術員丙,
