進料批號,到貨日,供應商,料號,抽樣數,不合格數,判定,檢驗員,備註
IQC-26001,2026-06-01,供應商甲,樹脂R-01,50,0,允收,檢驗員甲,
IQC-26002,2026-06-01,供應商戊,金屬件M-05,80,0,允收,檢驗員丙,
IQC-26003,2026-06-02,供應商丙,包材P-11,50,1,允收,檢驗員甲,
IQC-26004,2026-06-02,供應商丁,包材P-12,80,2,特採,檢驗員乙,尺寸略超上限，經工程判定特採
IQC-26005,2026-06-03,供應商甲,樹脂R-01,80,3,拒收,檢驗員丙,
IQC-26006,2026-06-03,供應商丁,包材P-12,80,0,允收,檢驗員甲,
IQC-26007,2026-06-03,供應商戊,金屬件M-05,80,0,允收,檢驗員甲,
IQC-26008,2026-06-03,供應商丁,包材P-12,80,2,特採,檢驗員丙,尺寸略超上限，經工程判定特採
IQC-26009,2026-06-04,供應商丁,包材P-12,80,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26010,2026-06-04,供應商丙,包材P-11,80,1,允收,檢驗員甲,
IQC-26011,2026-06-05,供應商丙,包材P-11,50,0,允收,檢驗員甲,
IQC-26012,2026-06-05,供應商乙,樹脂R-02,32,0,允收,檢驗員丙,
IQC-26013,2026-06-06,供應商丙,包材P-11,50,0,允收,檢驗員乙,
IQC-26014,2026-06-06,供應商丁,包材P-12,50,0,允收,檢驗員乙,
IQC-26015,2026-06-06,供應商戊,金屬件M-05,50,1,允收,檢驗員甲,
IQC-26016,2026-06-07,供應商乙,樹脂R-02,50,0,允收,檢驗員丙,
IQC-26017,2026-06-09,供應商乙,樹脂R-02,80,1,允收,檢驗員乙,
IQC-26018,2026-06-09,供應商丁,包材P-12,32,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26019,2026-06-10,供應商丁,包材P-12,80,2,特採,檢驗員甲,
IQC-26020,2026-06-11,供應商丁,包材P-12,32,0,允收,檢驗員甲,
IQC-26021,2026-06-11,供應商乙,樹脂R-02,50,1,允收,檢驗員乙,
IQC-26022,2026-06-11,供應商乙,樹脂R-02,50,0,允收,檢驗員乙,
IQC-26023,2026-06-12,供應商甲,樹脂R-01,50,2,拒收,檢驗員丙,
IQC-26024,2026-06-12,供應商丙,包材P-11,80,2,特採,檢驗員甲,
IQC-26025,2026-06-12,供應商丙,包材P-11,80,0,允收,檢驗員甲,
IQC-26026,2026-06-13,供應商丁,包材P-12,50,0,允收,檢驗員甲,
IQC-26027,2026-06-13,供應商乙,樹脂R-02,32,0,允收,檢驗員丙,
IQC-26028,2026-06-13,供應商丙,包材P-11,80,0,允收,檢驗員甲,
IQC-26029,2026-06-14,供應商甲,樹脂R-01,50,0,允收,檢驗員乙,
IQC-26030,2026-06-14,供應商乙,樹脂R-02,80,3,拒收,檢驗員乙,
IQC-26031,2026-06-14,供應商甲,樹脂R-01,32,0,允收,檢驗員甲,
IQC-26032,2026-06-15,供應商丁,包材P-12,32,0,允收,檢驗員甲,
