批號,日期,機台,班別,治具版本,模溫,射出壓力,產出數,不良數
1001,2026-04-02,M3,夜班,v2,181.5,67.8,206,12
1002,2026-04-03,M2,夜班,v1,190.6,75.7,398,11
1003,2026-04-03,M3,夜班,v2,179.2,64.2,198,11
1004,2026-04-04,M1,夜班,v2,193.8,75.6,408,6
1005,2026-04-04,M2,夜班,v1,193.3,73.3,317,14
1006,2026-04-04,M2,日班,v1,181.3,66.2,322,5
1008,2026-04-04,M1,日班,v1,190.7,63.6,275,2
1009,2026-04-05,M1,日班,v1,191.8,77.6,336,6
1010,2026-04-05,M3,夜班,v2,184.9,63.4,381,15
1011,2026-04-06,M3,日班,v1,181.6,74.6,210,15
1012,2026-04-06,M1,夜班,v1,180.6,71.9,359,9
1013,2026-04-07,M2,夜班,v1,184.1,70.1,292,7
1014,2026-04-08,M3,夜班,v2,183.8,71.9,201,14
1015,2026-04-09,M3,日班,v1,191.2,62.4,287,17
1016,2026-04-10,M1,日班,v1,182.7,68.4,377,7
1017,2026-04-10,M1,日班,v1,186.1,63.0,246,4
1018,2026-04-10,M2,夜班,v1,190.4,68.2,399,6
1019,2026-04-10,M1,日班,v2,182.4,80.4,240,3
1020,2026-04-10,M1,日班,v1,187.7,75.9,191,2
1021,2026-04-10,M1,日班,v1,182.9,80.7,331,6
1022,2026-04-10,M3,夜班,v1,187.1,78.3,229,11
1023,2026-04-10,M3,夜班,v2,183.4,66.2,371,24
1024,2026-04-10,M3,夜班,v2,190.6,71.5,187,8
1025,2026-04-10,M1,日班,v1,193.2,80.1,256,6
1026,2026-04-11,M1,夜班,v2,183.4,69.1,268,4
1027,2026-04-11,M1,夜班,v1,188.7,68.4,212,3
1028,2026-04-12,M1,日班,v1,182.2,68.1,202,3
1029,2026-04-12,M3,夜班,v2,183.8,82.2,361,28
1030,2026-04-12,M3,夜班,v2,182.1,87.8,204,9
1031,2026-04-12,M3,夜班,v2,188.2,77.8,378,18
1032,2026-04-12,M1,夜班,v1,190.5,69.8,402,6
1033,2026-04-12,M1,日班,v1,185.4,77.4,286,6
1034,2026-04-13,M3,日班,v2,181.4,83.5,355,10
1035,2026-04-13,M2,日班,v1,180.6,70.6,309,6
1036,2026-04-13,M3,日班,v2,178.1,78.4,192,10
1037,2026-04-14,M1,日班,v1,183.3,67.2,356,8
1041,2026-04-14,M3,夜班,v2,191.8,83.5,298,15
1042,2026-04-14,M2,日班,v1,179.7,79.1,189,5
1043,2026-04-15,M3,日班,v2,193.0,67.5,259,11
1045,2026-04-16,M3,日班,v2,193.6,81.6,301,9
1046,2026-04-17,M2,日班,v1,190.3,79.7,190,3
1047,2026-04-17,M2,日班,v1,188.5,71.3,389,14
1048,2026-04-17,M2,日班,v1,185.8,65.8,192,1
1049,2026-04-17,M2,日班,v1,187.2,72.3,304,3
1051,2026-04-17,M2,日班,v1,181.1,69.1,217,9
1052,2026-04-18,M2,夜班,v1,183.9,73.9,409,17
1053,2026-04-18,M3,日班,v2,188.4,87.2,336,14
1054,2026-04-19,M2,日班,v2,186.2,62.2,273,1
1055,2026-04-19,M3,夜班,v2,183.7,72.7,413,19
1056,2026-04-20,M3,夜班,v2,190.2,86.8,230,7
1057,2026-04-20,M2,日班,v2,190.7,77.9,347,3
1058,2026-04-21,M1,日班,v1,193.9,75.6,303,5
1059,2026-04-22,M3,日班,v2,193.3,64.4,236,12
1060,2026-04-22,M3,日班,v1,179.9,62.3,314,24
1061,2026-04-22,M1,夜班,v1,180.9,62.8,402,5
1063,2026-04-22,M1,日班,v1,185.2,68.9,336,3
