批號,日期,機台,班別,操作員,原料批號,模具保養後天數,料溫,模溫,射出壓力,保壓時間,冷卻時間,環境溫度,環境濕度,產出數,不良數,現場紀錄
P-2401,2026-08-03,M1,日班,OP01,R-0710,18,228.5,188.0,72.8,2.66,12.9,27.4,59,305,4,
P-2402,2026-08-03,M2,日班,OP01,R-0709,7,222.4,182.8,68.6,2.61,12.8,27.8,57,248,6,換班交接完成
P-2403,2026-08-04,M2,日班,OP07,R-0715,20,231.5,185.5,76.3,2.67,15.4,25.2,59,224,3,首件檢驗通過
P-2404,2026-08-05,M3,日班,OP01,R-0704,4,223.9,186.4,72.2,2.57,13.6,25.1,58,287,3,
P-2405,2026-08-05,M2,夜班,OP07,R-0703,7,227.5,185.5,79.0,2.75,14.7,25.5,56,344,4,巡檢無異常
P-2406,2026-08-06,M2,日班,OP07,R-0703,14,225.3,189.5,70.5,2.93,14.6,25.4,65,336,5,巡檢無異常
P-2407,2026-08-07,M3,夜班,OP05,R-0706,15,224.8,187.3,71.3,2.73,14.1,28.8,59,352,30,
P-2408,2026-08-07,M1,夜班,OP04,R-0703,20,224.5,185.1,71.7,2.74,12.9,29.0,46,370,8,正常
P-2409,2026-08-08,M2,夜班,OP04,R-0706,10,222.1,190.4,79.6,2.91,13.9,25.8,51,353,8,換料後聞到焦味，繼續生產
P-2410,2026-08-09,M2,夜班,OP01,R-0713,7,226.9,187.3,82.3,2.68,15.3,28.3,62,279,4,首件檢驗通過
P-2411,2026-08-09,M1,夜班,OP07,R-0704,17,229.4,187.2,62.8,2.81,13.3,27.4,59,281,7,
P-2412,2026-08-10,M3,夜班,OP02,R-0712,23,223.4,188.0,77.6,2.66,13.4,28.8,69,307,16,R-0712 外包裝破損，已拆新袋
P-2413,2026-08-11,M1,日班,OP07,R-0711,5,229.9,181.4,76.7,2.81,13.6,26.3,61,222,4,換班交接完成
P-2414,2026-08-11,M2,夜班,OP06,R-0708,11,227.3,188.8,71.8,2.86,14.3,26.1,65,312,3,正常
P-2415,2026-08-12,M2,日班,OP04,R-0704,12,233.1,186.4,69.9,2.68,14.7,26.1,67,262,3,
P-2416,2026-08-13,M1,夜班,OP07,R-0713,12,222.6,190.2,74.4,2.74,15.2,26.6,65,270,2,首件檢驗通過
P-2417,2026-08-13,M2,日班,OP01,R-0704,14,231.1,189.7,78.1,2.92,12.5,25.7,53,395,7,
P-2418,2026-08-14,M2,夜班,OP03,R-0704,9,224.7,186.8,79.2,2.82,15.1,28.4,63,294,4,脫模不順，夜班手動噴離型劑兩次
P-2419,2026-08-15,M1,日班,OP05,R-0707,18,226.1,185.4,69.0,2.82,13.2,27.3,63,291,7,產品表面出現細銀紋，已挑出 3 件
P-2420,2026-08-15,M2,夜班,OP03,R-0712,9,224.4,189.5,80.6,2.92,15.4,27.3,52,345,16,
P-2421,2026-08-16,M2,夜班,OP08,R-0706,18,232.7,188.7,68.5,2.7,11.4,28.7,54,276,13,換班交接完成
P-2422,2026-08-17,M1,日班,OP08,R-0709,9,232.1,187.8,72.1,2.84,15.0,27.6,48,398,10,
P-2423,2026-08-17,M2,夜班,OP02,R-0713,4,237.0,188.9,78.2,2.72,15.1,27.8,48,223,6,
P-2424,2026-08-18,M1,夜班,OP04,R-0714,13,229.4,181.9,70.3,2.93,14.0,28.2,82,326,16,午後雷陣雨
P-2425,2026-08-19,M1,日班,OP04,R-0701,4,225.1,187.0,76.5,2.78,12.7,28.3,64,370,7,首件檢驗通過
P-2426,2026-08-19,M1,夜班,OP03,R-0703,24,231.4,181.9,82.3,2.7,14.9,26.0,54,286,3,依排程生產
P-2427,2026-08-20,M1,夜班,OP03,R-0702,19,233.2,184.2,76.5,2.81,14.8,25.4,61,273,5,換班交接完成
P-2428,2026-08-21,M2,日班,OP01,R-0710,9,230.8,187.4,80.5,2.7,13.5,27.2,67,389,6,首件檢驗通過
P-2429,2026-08-21,M3,夜班,OP03,R-0715,4,225.9,184.8,70.6,2.82,14.0,26.6,66,403,10,
P-2430,2026-08-22,M3,夜班,OP05,R-0709,15,232.0,183.8,72.4,2.78,14.3,26.4,63,319,3,正常
P-2431,2026-08-23,M1,日班,OP06,R-0704,0,221.9,182.0,80.6,2.87,15.3,28.7,68,392,18,保養後重新上模
P-2432,2026-08-23,M1,夜班,OP02,R-0710,14,231.2,187.8,70.3,2.69,14.6,26.8,56,393,9,正常
P-2433,2026-08-24,M2,日班,OP08,R-0702,14,225.7,186.9,78.5,2.93,15.5,28.6,51,335,5,首件檢驗通過
P-2434,2026-08-25,M1,日班,OP08,R-0707,6,227.1,190.5,62.2,2.6,14.6,25.5,57,333,11,換班交接完成
P-2435,2026-08-25,M3,夜班,OP08,R-0715,9,225.3,189.4,81.5,2.79,12.9,27.9,51,261,6,換班交接完成
P-2436,2026-08-26,M2,日班,OP01,R-0709,24,231.4,184.3,69.1,2.89,13.4,28.3,64,389,10,
P-2437,2026-08-27,M3,日班,OP08,R-0714,19,230.9,185.8,74.3,2.91,12.7,26.4,64,284,21,巡檢無異常
P-2438,2026-08-27,M3,夜班,OP07,R-0701,14,227.5,187.5,74.3,2.79,14.3,27.5,66,259,6,依排程生產
P-2439,2026-08-28,M1,夜班,OP08,R-0710,6,229.5,184.8,78.5,2.63,12.8,28.4,69,252,6,
P-2440,2026-08-29,M3,夜班,OP01,R-0703,14,233.0,188.6,74.2,2.81,12.8,25.5,50,402,10,正常
P-2441,2026-08-29,M2,日班,OP05,R-0709,7,224.8,187.2,82.1,2.83,12.6,24.6,47,262,6,首件檢驗通過
P-2442,2026-08-30,M3,夜班,OP06,R-0702,10,229.0,183.5,71.1,2.63,13.8,26.1,68,379,4,
P-2443,2026-08-31,M3,日班,OP06,R-0710,22,231.5,187.0,76.2,2.66,14.9,24.0,46,310,5,巡檢無異常
P-2444,2026-08-31,M2,夜班,OP06,R-0713,16,232.4,182.3,79.6,2.78,13.0,24.4,53,253,20,
