批號,日期,機台,班別,稼動率,性能率,良率,OEE,燈號,主要停機原因,現場紀錄,停機_分,排程時間_分,理想週期_秒,產出數,良品數,負責職稱,處置,期限
P-2401,2026-08-03,M1,日班,0.910,0.953,0.987,0.856,🟢 綠,等料,,41,457,78,305,301,,,
P-2402,2026-08-03,M2,日班,0.912,0.906,0.976,0.807,🟢 綠,換模,換班交接完成,36,410,82,248,242,,,
P-2403,2026-08-04,M2,日班,0.899,0.930,0.987,0.825,🟢 綠,換模,首件檢驗通過,37,366,82,224,221,,,
P-2404,2026-08-05,M3,日班,0.902,0.904,0.990,0.807,🟢 綠,首件確認,,43,440,75,287,284,,,
P-2405,2026-08-05,M2,夜班,0.923,0.940,0.988,0.857,🟢 綠,換模,巡檢無異常,42,542,82,344,340,,,
P-2406,2026-08-06,M2,日班,0.950,0.931,0.985,0.872,🟢 綠,例行調機,巡檢無異常,26,519,82,336,331,,,
P-2407,2026-08-07,M3,夜班,0.928,0.952,0.915,0.808,🟢 綠,換模,,36,498,75,352,322,,,
P-2408,2026-08-07,M1,夜班,0.952,0.932,0.978,0.868,🟢 綠,首件確認,正常,26,542,78,370,362,,,
P-2409,2026-08-08,M2,夜班,0.950,0.910,0.977,0.845,🟢 綠,等料,換料後聞到焦味，繼續生產,28,558,82,353,345,,,
P-2410,2026-08-09,M2,夜班,0.913,0.906,0.986,0.815,🟢 綠,等料,首件檢驗通過,40,461,82,279,275,,,
P-2411,2026-08-09,M1,夜班,0.946,0.956,0.975,0.882,🟢 綠,換模,,22,404,78,281,274,,,
P-2412,2026-08-10,M3,夜班,0.936,0.907,0.948,0.805,🟢 綠,首件確認,R-0712 外包裝破損，已拆新袋,29,452,75,307,291,,,
P-2413,2026-08-11,M1,日班,0.935,0.913,0.982,0.838,🟢 綠,等料,換班交接完成,22,338,78,222,218,,,
P-2414,2026-08-11,M2,夜班,0.914,0.917,0.990,0.830,🟢 綠,換模,正常,44,509,82,312,309,,,
P-2415,2026-08-12,M2,日班,0.903,0.911,0.989,0.814,🟢 綠,換模,,42,435,82,262,259,,,
P-2416,2026-08-13,M1,夜班,0.941,0.912,0.993,0.852,🟢 綠,換模,首件檢驗通過,24,409,78,270,268,,,
P-2417,2026-08-13,M2,日班,0.960,0.937,0.982,0.884,🟢 綠,例行調機,,24,600,82,395,388,,,
P-2418,2026-08-14,M2,夜班,0.917,0.957,0.986,0.865,🟢 綠,例行調機,脫模不順，夜班手動噴離型劑兩次,38,458,82,294,290,,,
P-2419,2026-08-15,M1,日班,0.904,0.955,0.976,0.843,🟢 綠,等料,產品表面出現細銀紋，已挑出 3 件,42,438,78,291,284,,,
P-2420,2026-08-15,M2,夜班,0.934,0.907,0.954,0.807,🟢 綠,首件確認,,37,557,82,345,329,,,
P-2421,2026-08-16,M2,夜班,0.949,0.920,0.953,0.832,🟢 綠,換模,換班交接完成,22,432,82,276,263,,,
P-2422,2026-08-17,M1,日班,0.934,0.921,0.975,0.838,🟢 綠,等料,,40,602,78,398,388,,,
P-2423,2026-08-17,M2,夜班,0.933,0.958,0.973,0.870,🟢 綠,例行調機,,23,341,82,223,217,,,
P-2424,2026-08-18,M1,夜班,0.922,0.948,0.951,0.831,🟢 綠,等料,午後雷陣雨,38,485,78,326,310,,,
P-2425,2026-08-19,M1,日班,0.925,0.901,0.981,0.818,🟢 綠,例行調機,首件檢驗通過,43,577,78,370,363,,,
P-2426,2026-08-19,M1,夜班,0.917,0.937,0.990,0.850,🟢 綠,例行調機,依排程生產,36,433,78,286,283,,,
P-2427,2026-08-20,M1,夜班,0.940,0.905,0.982,0.835,🟢 綠,等料,換班交接完成,25,417,78,273,268,,,
P-2428,2026-08-21,M2,日班,0.965,0.912,0.985,0.867,🟢 綠,換模,首件檢驗通過,21,604,82,389,383,,,
P-2429,2026-08-21,M3,夜班,0.941,0.903,0.975,0.828,🟢 綠,換模,,35,593,75,403,393,,,
P-2430,2026-08-22,M3,夜班,0.950,0.921,0.991,0.866,🟢 綠,換模,正常,23,456,75,319,316,,,
P-2431,2026-08-23,M1,日班,0.936,0.945,0.954,0.844,🟢 綠,例行調機,保養後重新上模,37,576,78,392,374,,,
P-2432,2026-08-23,M1,夜班,0.949,0.916,0.977,0.849,🟢 綠,等料,正常,30,588,78,393,384,,,
P-2433,2026-08-24,M2,日班,0.919,0.919,0.985,0.832,🟢 綠,首件確認,首件檢驗通過,44,542,82,335,330,,,
P-2434,2026-08-25,M1,日班,0.918,0.941,0.967,0.836,🟢 綠,換模,換班交接完成,41,501,78,333,322,,,
P-2435,2026-08-25,M3,夜班,0.938,0.901,0.977,0.826,🟢 綠,換模,換班交接完成,24,386,75,261,255,,,
P-2436,2026-08-26,M2,日班,0.945,0.917,0.974,0.844,🟢 綠,換模,,34,614,82,389,379,,,
P-2437,2026-08-27,M3,日班,0.900,0.957,0.926,0.798,🟡 黃,換模,巡檢無異常,41,412,75,284,263,,,
P-2438,2026-08-27,M3,夜班,0.897,0.925,0.977,0.811,🟢 綠,首件確認,依排程生產,40,390,75,259,253,,,
P-2439,2026-08-28,M1,夜班,0.899,0.923,0.976,0.810,🟢 綠,換模,,40,395,78,252,246,,,
P-2440,2026-08-29,M3,夜班,0.946,0.950,0.975,0.877,🟢 綠,等料,正常,30,559,75,402,392,,,
P-2441,2026-08-29,M2,日班,0.908,0.902,0.977,0.801,🟢 綠,首件確認,首件檢驗通過,40,437,82,262,256,,,
P-2442,2026-08-30,M3,夜班,0.931,0.949,0.989,0.875,🟢 綠,首件確認,,37,536,75,379,375,,,
P-2443,2026-08-31,M3,日班,0.917,0.927,0.984,0.836,🟢 綠,首件確認,巡檢無異常,38,456,75,310,305,,,
P-2444,2026-08-31,M2,夜班,0.916,0.958,0.921,0.808,🟢 綠,例行調機,,33,394,82,253,233,,,
P-2445,2026-09-01,M1,夜班,0.944,0.926,0.934,0.816,🟢 綠,等料,,29,516,78,347,324,,,
P-2446,2026-09-02,M3,日班,0.918,0.902,0.978,0.810,🟢 綠,換模,,34,415,75,275,269,,,
P-2447,2026-09-02,M1,日班,0.927,0.945,0.960,0.841,🟢 綠,換模,,27,368,78,248,238,,,
P-2448,2026-09-03,M2,日班,0.926,0.911,0.948,0.800,🟢 綠,等料,,37,502,82,310,294,,,
P-2449,2026-09-04,M3,日班,0.946,0.953,0.992,0.894,🟢 綠,首件確認,首件檢驗通過,27,498,75,359,356,,,
P-2450,2026-09-04,M3,夜班,0.896,0.944,0.955,0.808,🟢 綠,換模,換料 R-0712,38,365,75,247,236,,,
P-2451,2026-09-05,M2,日班,0.935,0.922,0.989,0.852,🟢 綠,等料,首件檢驗通過,27,414,82,261,258,,,
P-2452,2026-09-06,M1,夜班,0.941,0.956,0.987,0.888,🟢 綠,等料,機台射出時有異音，班長已口頭通報,32,546,78,378,373,,,
P-2453,2026-09-06,M1,日班,0.946,0.953,0.990,0.893,🟢 綠,例行調機,換班交接完成,24,444,78,308,305,,,
P-2454,2026-09-07,M3,夜班,0.915,0.931,0.982,0.835,🟢 綠,等料,正常,34,398,75,271,266,,,
P-2455,2026-09-08,M2,夜班,0.940,0.947,0.980,0.872,🟢 綠,等料,,36,602,82,392,384,,,
P-2456,2026-09-08,M1,夜班,0.926,0.934,0.976,0.844,🟢 綠,首件確認,換班交接完成,42,567,78,377,368,,,
P-2457,2026-09-09,M1,日班,0.950,0.929,0.985,0.870,🟢 綠,首件確認,,25,502,78,341,336,,,
P-2458,2026-09-10,M3,夜班,0.957,0.938,0.974,0.875,🟢 綠,首件確認,,23,536,75,385,375,,,
P-2459,2026-09-10,M2,日班,0.933,0.909,0.981,0.833,🟢 綠,等料,首件檢驗通過,29,435,82,270,265,,,
P-2460,2026-09-11,M2,夜班,0.944,0.911,0.958,0.824,🟢 綠,等料,,27,486,82,306,293,,,
P-2461,2026-09-12,M2,日班,0.939,0.938,0.983,0.866,🟢 綠,首件確認,,33,543,82,350,344,,,
P-2462,2026-09-12,M3,日班,0.889,0.921,0.952,0.780,🟡 黃,等料,除濕機排程保養中,39,351,75,230,219,,,
P-2463,2026-09-13,M3,夜班,0.915,0.949,0.964,0.837,🟢 綠,首件確認,,31,363,75,252,243,,,
P-2464,2026-09-14,M3,日班,0.934,0.766,0.980,0.701,🟡 黃,供料微停（不計停機）,首件檢驗通過,40,603,75,345,338,,,
P-2465,2026-09-14,M1,日班,0.915,0.947,0.983,0.852,🟢 綠,例行調機,冷卻水管接頭有滴漏水，先用抹布擋著,44,519,78,346,340,,,
P-2466,2026-09-15,M3,夜班,0.950,0.768,0.981,0.716,🟡 黃,供料微停（不計停機）,,36,718,75,419,411,,,
P-2467,2026-09-16,M1,夜班,0.734,0.948,0.951,0.661,🔴 紅,設備故障（冷卻／異音）,,122,458,78,245,233,,,
P-2468,2026-09-16,M1,夜班,0.792,0.910,0.976,0.703,🟡 黃,設備故障（冷卻／異音）,換班交接完成,157,754,78,418,408,,,
P-2469,2026-09-17,M2,夜班,0.937,0.918,0.954,0.820,🟢 綠,首件確認,,28,445,82,280,267,,,
P-2470,2026-09-18,M2,夜班,0.927,0.907,0.986,0.828,🟢 綠,換模,巡檢無異常,33,449,82,276,272,,,
P-2471,2026-09-18,M3,日班,0.952,0.761,0.992,0.719,🟡 黃,供料微停（不計停機）,正常,32,661,75,383,380,,,
P-2472,2026-09-19,M3,日班,0.947,0.757,0.986,0.707,🟡 黃,供料微停（不計停機）,,27,506,75,290,286,,,
P-2473,2026-09-20,M1,日班,0.803,0.948,0.957,0.729,🟡 黃,設備故障（冷卻／異音）,,140,712,78,417,399,,,
P-2474,2026-09-20,M1,夜班,0.795,0.957,0.945,0.719,🟡 黃,設備故障（冷卻／異音）,,121,591,78,346,327,,,
P-2475,2026-09-21,M3,夜班,0.944,0.761,0.987,0.709,🟡 黃,供料微停（不計停機）,依排程生產,36,647,75,372,367,,,
P-2476,2026-09-22,M3,日班,0.928,0.743,0.974,0.671,🔴 紅,供料微停（不計停機）,巡檢無異常,35,484,75,267,260,,,
P-2477,2026-09-22,M1,日班,0.785,0.909,0.991,0.706,🟡 黃,設備故障（冷卻／異音）,,124,576,78,316,313,,,
P-2478,2026-09-23,M2,日班,0.909,0.929,0.975,0.823,🟢 綠,等料,換班交接完成,42,460,82,284,277,,,
P-2479,2026-09-24,M1,夜班,0.780,0.952,0.978,0.726,🟡 黃,設備故障（冷卻／異音）,依排程生產,138,627,78,358,350,,,
P-2480,2026-09-24,M1,夜班,0.722,0.915,0.960,0.634,🔴 紅,設備故障（冷卻／異音）,,122,439,78,223,214,,,
P-2481,2026-09-25,M3,日班,0.940,0.785,0.919,0.678,🔴 紅,供料微停（不計停機）,,41,686,75,405,372,,,
P-2482,2026-09-26,M2,日班,0.955,0.918,0.984,0.862,🟢 綠,等料,,22,485,82,311,306,,,
P-2483,2026-09-26,M2,夜班,0.940,0.936,0.981,0.863,🟢 綠,例行調機,依排程生產,39,651,82,419,411,,,
P-2484,2026-09-27,M2,日班,0.943,0.960,0.935,0.846,🟢 綠,例行調機,換班交接完成,20,349,82,231,216,,,
P-2485,2026-09-28,M1,夜班,0.790,0.927,0.988,0.723,🟡 黃,設備故障（冷卻／異音）,換班交接完成,150,714,78,402,397,,,
P-2486,2026-09-28,M3,夜班,0.951,0.781,0.930,0.690,🔴 紅,供料微停（不計停機）,首件檢驗通過,33,672,75,399,371,,,
P-2487,2026-09-29,M3,日班,0.933,0.799,0.975,0.727,🟡 黃,供料微停（不計停機）,依排程生產,41,612,75,365,356,,,
P-2488,2026-09-30,M2,夜班,0.925,0.908,0.974,0.818,🟢 綠,等料,換班交接完成,42,558,82,343,334,,,
P-2489,2026-09-30,M3,夜班,0.926,0.741,0.987,0.678,🔴 紅,供料微停（不計停機）,正常,32,435,75,239,236,,,
P-2490,2026-10-01,M3,夜班,0.938,0.804,0.981,0.740,🟡 黃,供料微停（不計停機）,,32,517,75,312,306,,,
